number,english,chinese
1,Creatures,生物
41,Unusual,不尋常
76,Volunteer,志願者
2,Breathe,呼吸
42,Furry,毛茸茸的
77,Assistant,助手
3,Singer,歌手
43,Charity,慈善
78,Least favourite choice,最不喜歡的選擇
4,Distance,距離
44,Organization,組織
5,Attract,吸引
45,Trained(v),訓練
79,Prefer,更喜歡
6,Mates,夥伴
46,Aim,目的
80,Vacancy (vacancies),空缺
7,Potential,潛質
47,Physical,身體的
81,Complete,完成
8,Temperature,溫度
48,Emotion,情緒
82,Divided,分為
9,Surround,環繞
49,Social,社會的
83,Barely,僅僅
10,Raise,提高
50,Organize,組織
84,Straw,稻草
11,Offspring,後代
51,A range of,一系列
85,Arranged,安排
12,Enemy (enemies),敵人
52,Educational,教育性
86,Stuck,卡住
13,Escape,逃跑
53,Programme,方案
87,Musical instrument,樂器
14,Fight against,反對
54,Cheer up,振作起來
88,Genius,天才
15,Dangerous,危險
55,Veterinarians,獸醫
89,Impressed,印象深刻
16,Situation,情況
56,Preferred,首選
90,Kindergarten,幼稚園
17,Intelligent,聰明的
57,Obedient,聽話
91,Organize,組織
18,Change,改變
58,Due to,因為
92,Farewell,告別
19,Hide,躲藏
59,Lack of,欠缺
93,Traditional,傳統的
20,Hunt,打獵
60,Treat,對待
94,Refuse,拒絕
21,Release,發布
61,Recruits,招募
95,Shy,害羞
22,Prey,獵物
62,Educate,教育
96,Embarrassed,尷尬
23,Unable,不能夠
63,Respect,尊重
97,Language,語言
24,Survive,生存
64,Attend sessions,參加會議
98,Flute,長笛
25,Sunless,沒有陽光的
65,Volunteer,志願者
99,Describe,描述
26,Search,尋找
66,Furry,毛茸茸的
100,Talkative,健談
27,Shallow,淺
67,Promote,推動
101,Serious,嚴肅
28,Stings,蜇傷
68,Relationship,關係
102,Organized,組織
29,Consider,考慮
69,Support,支持
103,Creative,有創意
30,Threats,威脅
70,Denote,表示
31,Link,關聯
71,Continue,繼續
32,Attach,附上
72,Needy,有需要的
33,Pretend,假裝
73,Animal rights,動物權利
34,Deep,深
74,Suitable,適合
35,Rough,粗糙
75,recruit,招募
36,Target,目標
37,Clear,清除
38,Harm,傷害
39,Adapt,適應
40,Cling,緊貼
1,Savour,品嚐
35,Cold sweats,冷汗
74,Carnival,嘉年華會
2,Tourism,旅遊業
36,Alone,獨自的
75,Harbour front,海港前線
3,Annual,年度的
37,Gain,獲得
76,Chance,機會
4,Event,事件
38,Confidence,自信
77,Expected,預期的
5,Attracted,吸引
39,Impressive,感人的
78,Attractions,景點
6,Lock,鎖
40,Presentation,推介會
79,Suggest,提議
7,Million,百萬
41,Essential,基本的
80,Grabbed,抓
8,Oversea,海外
42,According to,根據
81,Rides (n),遊樂設施
9,Aim,目的
43,Expert,專家
82,Open-air,露天
10,Provide,提供
44,Verbal,口頭的
83,Queues,排隊
11,Extraordinary,非凡的
45,Non-verbal,不是口頭的
84,Bored,悶
12,Ordinary,普通的
46,Signals,訊號
85,Fortunately,幸運地
13,Flavours,口味
47,Facial,面部的
86,Nearby,附近
14,Senior,高級的
48,Expression,表達
87,Scream,尖叫
15,Pills,藥物
49,Body language,身體語言
88,Loud,響亮的
16,Believe,相信
50,Voice,嗓音
89,Serious,嚴肅的
17,Regular,常規的
51,Emotion,情緒
90,Post,地位，公告
18,Prevent,避免
52,Tone,語氣
91,Selfies,自拍
19,Bitter,苦的
53,Style,風格
92,Scared,害怕的
20,Experience,經驗
54,Control,控制
93,Particularly,特別
21,Taste buds,味蕾
55,Speed,速度
94,Silly,愚蠢
22,Energised,充滿活力
56,Rapidly relax,迅速放鬆
95,Unforgettable,難忘
23,Energy,活力
57,Deliver,遞送
24,Orient,東
58,Speech,言語
25,High-quality,高質素
59,Rush,匆忙
26,Low price,低價
60,Audience follow,觀眾關注
27,Ancient,古老的
61,Slow down,減速
28,Emperor,皇帝
62,Clearly,清楚地
29,Strange,奇怪的
63,Pay attention,留心
30,Warm,溫暖
64,Extra,額外的
31,Successful,成功
65,Pauses,停頓
32,Replace,取代
66,Whenever,每當
33,Health,健康
67,Otherwise,否則
34,History,歷史
68,Embarrassing,尷尬
69,Situation,處境
70,To conclude,總結
71,Contribute,貢獻
72,Argue,爭論
73,Entertain,招呼
1,Game booths,遊戲攤位
37,Treat(n),享樂
54,Prepare,準備
2,Variety,種類
38,Actually,實際上
55,Nervous,緊張
3,Stalls,攤位
39,Ingredients,配料
56,Practice,實踐
4,Creative,有創意
40,Advantage,優勢
57,Spend,花費
5,Design,設計
41,Mixture,混合物
58,Stick (v),戮
6,Assistance,幫助
42,University,大學
59,Improve,改善
7,Prize,獎
43,Important,重要
60,Choir,合唱團
8,Donated,捐贈的
44,Sense,感覺
61,Guess,猜測
9,Suitable,適合
45,Passion,熱情
62,Chubby,胖乎乎的
10,Including,包括
46,Communication,溝通
63,Curly,捲曲
11,Rubber,橡膠
47,Issue,問題
64,Necklace,項鍊
12,Treasure hunt,尋寶
48,Familiar,熟悉的
65,Travel,遊
13,Puzzles,謎題，砌圖
49,Different,不同的
66,Museum,博物館
14,Principal,校長
50,Allergies,過敏
67,Souvenirs,紀念品
15,Activity,活動
51,Weight,重量
68,Blog,網誌
16,Pass (v),經過
52,Diet,飲食
69,Statue of liberty,自由女神像
17,Three-legged race,二人三足
53,Calories,卡路里
70,Routine,常規賽
71,Cousin,表兄弟姐妹
18,Cost,價值
72,Sightseeing,觀光
19,Limit,限制
73,Trip,旅行
20,Bouncy castle,充氣城堡
74,Update,更新
21,Adult,成人
22,Ensure,確保
23,Safety,安全
24,Canteen,食堂
25,No charge,免費
26,Present (V),展示
27,Admission,錄取
28,Directions,方向
29,Public,公眾
30,Available,可用的
31,Shuttle bus,穿梭巴士
32,Bus terminus,巴士總站
33,Entrance,入口
34,Detail,細節
35,Refer,參考
36,Suitable,適合
1,Special offer,優惠
37,Joy,高興；樂事
69,Appeared,出現
2,Online,線上
38,Danger,危險；危險之人
70,Stared,注視
3,Discount,折扣
39,Surfing,衝浪運動
71,Fortunately,幸運地
4,Free,免費
40,Skimming,撇取，撇去；
72,Greeted,迎接
5,Second,第二浮渣
73,Obey,服從;遵守
6,Hunt,狩獵
41,Skill,能力；專長
74,Bathe,浸洗
7,Screen,銀幕
42,Strength,體力；力度;
75,Splashed,濺潑聲;飛濺
8,Spot,斑點
43,Kicking,踢打
